[OK] sig_x=2.5251e-02  sig_y=2.5413e-02  alpha_x=1.4336e+01  alpha_y=1.4443e+01  X=[0 1.4 0.0909 0.798]
[OK] sig_x=2.1554e-02  sig_y=2.1649e-02  alpha_x=-3.9813e+01  alpha_y=-4.0340e+01  X=[1.4 0 1.4 0]
[OK] sig_x=2.5774e-02  sig_y=2.5903e-02  alpha_x=3.0884e+00  alpha_y=3.0984e+00  X=[0 0.578 0.256 0.277]
[OK] sig_x=2.8830e-02  sig_y=2.8554e-02  alpha_x=-1.6743e+01  alpha_y=-1.6427e+01  X=[0 0 1.4 1.4]
[OK] sig_x=3.7821e-03  sig_y=3.7766e-03  alpha_x=2.9331e+00  alpha_y=2.9673e+00  X=[0 1.4 0.171 0.951]
[OK] sig_x=2.0862e-02  sig_y=2.0791e-02  alpha_x=1.2595e+01  alpha_y=1.2685e+01  X=[0.755 1.34 0 0.821]
[OK] sig_x=2.3221e-02  sig_y=2.3190e-02  alpha_x=1.0068e+01  alpha_y=1.0125e+01  X=[0 1.25 0.36 0.753]
[OK] sig_x=1.7604e-02  sig_y=1.7550e-02  alpha_x=1.1865e+01  alpha_y=1.1894e+01  X=[0 0.596 0.0904 0.549]
[OK] sig_x=8.9949e-03  sig_y=9.0001e-03  alpha_x=1.1264e+00  alpha_y=1.1549e+00  X=[1.4 0.164 0.683 0.307]
[OK] sig_x=1.3437e-02  sig_y=1.3385e-02  alpha_x=8.1798e+00  alpha_y=8.1936e+00  X=[0.436 0.611 0.158 0.505]
[OK] sig_x=2.7598e-02  sig_y=2.7777e-02  alpha_x=-5.8059e+01  alpha_y=-5.8168e+01  X=[0.281 0.574 0.82 0.981]
[OK] sig_x=1.6269e-02  sig_y=1.6233e-02  alpha_x=8.7064e+00  alpha_y=8.7459e+00  X=[1.4 1.27 0.465 0.614]
[OK] sig_x=1.6221e-02  sig_y=1.6197e-02  alpha_x=8.0089e+00  alpha_y=8.0563e+00  X=[0 1.17 0.296 0.819]
[OK] sig_x=2.2586e-02  sig_y=2.2618e-02  alpha_x=-2.0201e+01  alpha_y=-2.0418e+01  X=[1.4 2.61e-08 6.3e-08 8.11e-08]
[OK] sig_x=2.8557e-02  sig_y=2.7960e-02  alpha_x=-2.0294e+02  alpha_y=-2.0771e+02  X=[5.02e-08 1.4 0 0]
[OK] sig_x=2.8685e-02  sig_y=2.8362e-02  alpha_x=-1.3184e+02  alpha_y=-1.3373e+02  X=[0 2.12e-08 1.88e-08 1.4]
[OK] sig_x=1.4356e-02  sig_y=1.4406e-02  alpha_x=-1.1523e+01  alpha_y=-1.1653e+01  X=[1.4 0 1.4 1.4]
[OK] sig_x=2.5378e-02  sig_y=2.5172e-02  alpha_x=-2.6579e+01  alpha_y=-2.6744e+01  X=[1.4 0.49 0 0.0138]
[OK] sig_x=1.3599e-02  sig_y=1.3569e-02  alpha_x=3.9079e-01  alpha_y=4.1320e-01  X=[0.242 1.08 0.815 0.543]
[OK] sig_x=2.1716e-02  sig_y=2.1663e-02  alpha_x=3.3469e+00  alpha_y=3.3742e+00  X=[1.4 1.4 0.605 0.326]
[OK] sig_x=2.1397e-02  sig_y=2.1364e-02  alpha_x=1.1377e+01  alpha_y=1.1435e+01  X=[0.196 1.28 0.199 0.817]

--- Optimisation Complete ---
Pareto front size: 5
sig_x=7.8384e-03  sig_y=7.8778e-03  alpha_x=-6.9218e+00  alpha_y=-7.0217e+00  X=[1.14 0.962 1.14 0.0875]
sig_x=1.5879e-02  sig_y=1.5786e-02  alpha_x=1.0270e+01  alpha_y=1.0293e+01  X=[0.101 1.33 0.214 0.867]
sig_x=7.1545e-03  sig_y=7.1398e-03  alpha_x=5.6258e+00  alpha_y=5.6592e+00  X=[1.4 0.873 0.472 0.738]
sig_x=1.3095e-02  sig_y=1.3029e-02  alpha_x=9.4833e+00  alpha_y=9.5545e+00  X=[0.312 1.4 0.0149 0.892]
sig_x=2.3221e-02  sig_y=2.3190e-02  alpha_x=1.0068e+01  alpha_y=1.0125e+01  X=[0 1.25 0.36 0.753]
